room_name,room_type,depth,degree
balcony_9_22,balcony,-1,1
balcony_8_22,balcony,-1,1
balcony_9_21,balcony,-1,1
balcony_7_22,balcony,-1,1
balcony_8_21,balcony,-1,1
balcony_6_22,balcony,-1,1
balcony_7_21,balcony,-1,1
balcony_9_5,balcony,-1,1
balcony_5_22,balcony,-1,1
balcony_6_21,balcony,-1,1
balcony_8_5,balcony,-1,1
balcony_9_4,balcony,-1,1
balcony_4_22,balcony,-1,1
balcony_5_21,balcony,-1,1
balcony_7_5,balcony,-1,1
balcony_8_4,balcony,-1,1
balcony_3_22,balcony,-1,1
balcony_4_21,balcony,-1,1
balcony_6_5,balcony,-1,1
balcony_7_4,balcony,-1,1
balcony_1_5,balcony,-1,1
balcony_1_4,balcony,-1,1
balcony_2_5,balcony,-1,1
balcony_2_4,balcony,-1,1
balcony_3_5,balcony,-1,1
balcony_3_4,balcony,-1,1
balcony_4_5,balcony,-1,1
balcony_4_4,balcony,-1,1
balcony_5_5,balcony,-1,1
balcony_5_4,balcony,-1,1
balcony_6_4,balcony,-1,1
balcony_1_21,balcony,-1,1
balcony_1_22,balcony,-1,1
balcony_2_21,balcony,-1,1
balcony_2_22,balcony,-1,1
balcony_3_21,balcony,-1,1
bathroom_9_23,bathroom,-1,1
bathroom_9_24,bathroom,-1,1
bathroom_9_30,bathroom,-1,1
bathroom_9_19,bathroom,-1,1
bathroom_8_23,bathroom,-1,1
bathroom_8_24,bathroom,-1,1
bathroom_9_7,bathroom,-1,1
bathroom_9_6,bathroom,-1,1
bathroom_8_19,bathroom,-1,1
bathroom_8_30,bathroom,-1,1
bathroom_7_23,bathroom,-1,1
bathroom_7_24,bathroom,-1,1
bathroom_8_7,bathroom,-1,1
bathroom_8_6,bathroom,-1,1
bathroom_9_13,bathroom,-1,1
bathroom_9_2,bathroom,-1,1
bathroom_7_30,bathroom,-1,1
bathroom_7_19,bathroom,-1,1
bathroom_6_23,bathroom,-1,1
bathroom_6_24,bathroom,-1,1
bathroom_7_7,bathroom,-1,1
bathroom_7_6,bathroom,-1,1
bathroom_8_13,bathroom,-1,1
bathroom_8_2,bathroom,-1,1
bathroom_1_24,bathroom,-1,1
bathroom_1_7,bathroom,-1,1
bathroom_6_7,bathroom,-1,1
bathroom_2_24,bathroom,-1,1
bathroom_2_7,bathroom,-1,1
bathroom_3_24,bathroom,-1,1
bathroom_3_7,bathroom,-1,1
bathroom_4_24,bathroom,-1,1
bathroom_4_7,bathroom,-1,1
bathroom_5_24,bathroom,-1,1
bathroom_5_7,bathroom,-1,1
bathroom_6_30,bathroom,-1,1
bathroom_6_19,bathroom,-1,1
bathroom_5_23,bathroom,-1,1
bathroom_6_6,bathroom,-1,1
bathroom_7_13,bathroom,-1,1
bathroom_7_2,bathroom,-1,1
bathroom_1_13,bathroom,-1,1
bathroom_1_2,bathroom,-1,1
bathroom_2_13,bathroom,-1,1
bathroom_2_2,bathroom,-1,1
bathroom_3_13,bathroom,-1,1
bathroom_3_2,bathroom,-1,1
bathroom_4_13,bathroom,-1,1
bathroom_4_2,bathroom,-1,1
bathroom_5_13,bathroom,-1,1
bathroom_5_2,bathroom,-1,1
bathroom_6_13,bathroom,-1,1
bathroom_6_2,bathroom,-1,1
bathroom_1_19,bathroom,-1,1
bathroom_1_30,bathroom,-1,1
bathroom_1_23,bathroom,-1,1
bathroom_1_6,bathroom,-1,1
bathroom_2_19,bathroom,-1,1
bathroom_2_30,bathroom,-1,1
bathroom_2_23,bathroom,-1,1
bathroom_2_6,bathroom,-1,1
bathroom_3_19,bathroom,-1,1
bathroom_3_30,bathroom,-1,1
bathroom_3_23,bathroom,-1,1
bathroom_3_6,bathroom,-1,1
bathroom_4_23,bathroom,-1,1
bathroom_4_6,bathroom,-1,1
bathroom_4_30,bathroom,-1,1
bathroom_4_19,bathroom,-1,1
bathroom_5_6,bathroom,-1,1
bathroom_5_30,bathroom,-1,1
bathroom_5_19,bathroom,-1,1
bedroom_9_20,bedroom,-1,2
bedroom_8_20,bedroom,-1,2
bedroom_9_29,bedroom,-1,2
bedroom_7_20,bedroom,-1,2
bedroom_8_29,bedroom,-1,2
bedroom_9_18,bedroom,-1,1
bedroom_6_20,bedroom,-1,2
bedroom_7_29,bedroom,-1,2
bedroom_8_18,bedroom,-1,1
bedroom_9_3,bedroom,-1,2
bedroom_9_1,bedroom,-1,1
bedroom_9_12,bedroom,-1,2
bedroom_5_20,bedroom,-1,2
bedroom_6_29,bedroom,-1,2
bedroom_7_18,bedroom,-1,1
bedroom_8_3,bedroom,-1,2
bedroom_8_12,bedroom,-1,2
bedroom_8_1,bedroom,-1,1
bedroom_4_20,bedroom,-1,2
bedroom_5_29,bedroom,-1,2
bedroom_6_18,bedroom,-1,1
bedroom_7_3,bedroom,-1,2
bedroom_7_12,bedroom,-1,2
bedroom_7_1,bedroom,-1,1
bedroom_1_3,bedroom,-1,2
bedroom_1_12,bedroom,-1,2
bedroom_1_1,bedroom,-1,1
bedroom_2_3,bedroom,-1,2
bedroom_2_12,bedroom,-1,2
bedroom_2_1,bedroom,-1,1
bedroom_3_3,bedroom,-1,2
bedroom_3_12,bedroom,-1,2
bedroom_3_1,bedroom,-1,1
bedroom_4_3,bedroom,-1,2
bedroom_4_12,bedroom,-1,2
bedroom_4_1,bedroom,-1,1
bedroom_5_3,bedroom,-1,2
bedroom_5_12,bedroom,-1,2
bedroom_5_1,bedroom,-1,1
bedroom_6_3,bedroom,-1,2
bedroom_6_12,bedroom,-1,2
bedroom_6_1,bedroom,-1,1
bedroom_1_18,bedroom,-1,1
bedroom_1_29,bedroom,-1,2
bedroom_1_20,bedroom,-1,2
bedroom_2_18,bedroom,-1,1
bedroom_2_29,bedroom,-1,2
bedroom_2_20,bedroom,-1,2
bedroom_3_18,bedroom,-1,1
bedroom_3_29,bedroom,-1,2
bedroom_3_20,bedroom,-1,2
bedroom_4_29,bedroom,-1,2
bedroom_4_18,bedroom,-1,1
bedroom_5_18,bedroom,-1,1
corridor_9_32,corridor,-1,4
corridor_9_31,corridor,-1,7
corridor_8_32,corridor,-1,4
corridor_9_15,corridor,-1,6
corridor_8_31,corridor,-1,7
corridor_7_32,corridor,-1,4
corridor_8_15,corridor,-1,6
corridor_9_16,corridor,-1,4
corridor_9_14,corridor,-1,7
corridor_7_31,corridor,-1,7
corridor_6_32,corridor,-1,4
corridor_7_15,corridor,-1,6
corridor_8_16,corridor,-1,4
corridor_8_14,corridor,-1,7
corridor_1_15,corridor,-1,6
corridor_6_15,corridor,-1,6
corridor_2_15,corridor,-1,6
corridor_3_15,corridor,-1,6
corridor_4_15,corridor,-1,6
corridor_5_15,corridor,-1,6
corridor_6_31,corridor,-1,7
corridor_5_32,corridor,-1,4
corridor_7_16,corridor,-1,4
corridor_7_14,corridor,-1,7
corridor_1_14,corridor,-1,7
corridor_2_14,corridor,-1,7
corridor_3_14,corridor,-1,7
corridor_4_14,corridor,-1,7
corridor_5_14,corridor,-1,7
corridor_6_14,corridor,-1,7
corridor_1_31,corridor,-1,7
corridor_1_32,corridor,-1,4
corridor_1_16,corridor,-1,4
corridor_6_16,corridor,-1,4
corridor_2_31,corridor,-1,7
corridor_2_32,corridor,-1,4
corridor_2_16,corridor,-1,4
corridor_3_16,corridor,-1,4
corridor_3_31,corridor,-1,7
corridor_3_32,corridor,-1,4
corridor_4_32,corridor,-1,4
corridor_4_31,corridor,-1,7
corridor_4_16,corridor,-1,4
corridor_5_31,corridor,-1,7
corridor_5_16,corridor,-1,4
kitchen_9_25,kitchen,-1,3
kitchen_8_25,kitchen,-1,3
kitchen_9_8,kitchen,-1,3
kitchen_9_27,kitchen,-1,2
kitchen_7_25,kitchen,-1,3
kitchen_8_8,kitchen,-1,3
kitchen_9_10,kitchen,-1,2
kitchen_8_27,kitchen,-1,2
kitchen_6_25,kitchen,-1,3
kitchen_7_8,kitchen,-1,3
kitchen_8_10,kitchen,-1,2
kitchen_1_10,kitchen,-1,2
kitchen_2_10,kitchen,-1,2
kitchen_3_10,kitchen,-1,2
kitchen_4_10,kitchen,-1,2
kitchen_5_10,kitchen,-1,2
kitchen_6_10,kitchen,-1,2
kitchen_7_10,kitchen,-1,2
kitchen_7_27,kitchen,-1,2
kitchen_5_25,kitchen,-1,3
kitchen_6_8,kitchen,-1,3
kitchen_6_27,kitchen,-1,2
kitchen_5_27,kitchen,-1,2
kitchen_4_27,kitchen,-1,2
